A̱o,Mes,Caudal_MWh
1,1,3168.6
1,2,2181.1
1,3,1590.1
1,4,926.5
1,5,717.5
1,6,1072.5
1,7,1551.0
1,8,1813.8
1,9,2162.7
1,10,3523.7
1,11,4744.7
1,12,4190.4
2,1,3168.6
2,2,2181.1
2,3,1590.1
2,4,926.5
2,5,717.5
2,6,1072.5
2,7,1551.0
2,8,1813.8
2,9,2162.7
2,10,3523.7
2,11,4744.7
2,12,4190.4
3,1,3168.6
3,2,2181.1
3,3,1590.1
3,4,926.5
3,5,717.5
3,6,1072.5
3,7,1551.0
3,8,1813.8
3,9,2162.7
3,10,3523.7
3,11,4744.7
3,12,4190.4
4,1,3168.6
4,2,2181.1
4,3,1590.1
4,4,926.5
4,5,717.5
4,6,1072.5
4,7,1551.0
4,8,1813.8
4,9,2162.7
4,10,3523.7
4,11,4744.7
4,12,4190.4
5,1,3168.6
5,2,2181.1
5,3,1590.1
5,4,926.5
5,5,717.5
5,6,1072.5
5,7,1551.0
5,8,1813.8
5,9,2162.7
5,10,3523.7
5,11,4744.7
5,12,4190.4
6,1,3168.6
6,2,2181.1
6,3,1590.1
6,4,926.5
6,5,717.5
6,6,1072.5
6,7,1551.0
6,8,1813.8
6,9,2162.7
6,10,3523.7
6,11,4744.7
6,12,4190.4
7,1,3168.6
7,2,2181.1
7,3,1590.1
7,4,926.5
7,5,717.5
7,6,1072.5
7,7,1551.0
7,8,1813.8
7,9,2162.7
7,10,3523.7
7,11,4744.7
7,12,4190.4
8,1,3168.6
8,2,2181.1
8,3,1590.1
8,4,926.5
8,5,717.5
8,6,1072.5
8,7,1551.0
8,8,1813.8
8,9,2162.7
8,10,3523.7
8,11,4744.7
8,12,4190.4
9,1,3168.6
9,2,2181.1
9,3,1590.1
9,4,926.5
9,5,717.5
9,6,1072.5
9,7,1551.0
9,8,1813.8
9,9,2162.7
9,10,3523.7
9,11,4744.7
9,12,4190.4
10,1,3168.6
10,2,2181.1
10,3,1590.1
10,4,926.5
10,5,717.5
10,6,1072.5
10,7,1551.0
10,8,1813.8
10,9,2162.7
10,10,3523.7
10,11,4744.7
10,12,4190.4
